supplier_id,supplier_name,contact_name,email,phone,status
83,Taylor Manufacturing,Thomas Williams,vendor83@manufacturing.net,888-578-1758,INACTIVE
84,Brown Manufacturing,Elizabeth Garcia,vendor84@manufacturing.net,888-482-2677,INACTIVE
85,Smith Manufacturing,Linda Thomas,vendor85@manufacturing.net,888-934-6564,SUSPENDED
86,Martin Manufacturing,Jessica Martin,vendor86@manufacturing.net,888-509-2902,INACTIVE
87,Davis Manufacturing,Jessica Davis,vendor87@manufacturing.net,888-557-9164,INACTIVE
88,Rodriguez Manufacturing,John Jones,vendor88@manufacturing.net,888-542-9231,ACTIVE
89,Miller Manufacturing,Jessica Lopez,vendor89@manufacturing.net,888-582-6097,INACTIVE
90,Taylor Manufacturing,Joseph Moore,vendor90@manufacturing.net,888-309-8131,SUSPENDED
91,Rodriguez Manufacturing,John Garcia,vendor91@manufacturing.net,888-801-3924,SUSPENDED
92,Davis Manufacturing,Charles Rodriguez,vendor92@manufacturing.net,888-575-1727,INACTIVE
93,Brown Manufacturing,David Moore,vendor93@manufacturing.net,888-848-6005,SUSPENDED
94,Davis Manufacturing,John Martin,vendor94@manufacturing.net,888-641-5787,ACTIVE
95,Martinez Manufacturing,Joseph Thomas,vendor95@manufacturing.net,888-611-2284,INACTIVE
96,Miller Manufacturing,Robert Hernandez,vendor96@manufacturing.net,888-942-5521,ACTIVE
97,Martin Manufacturing,James Davis,vendor97@manufacturing.net,888-550-6104,INACTIVE
98,Garcia Manufacturing,Jennifer Jackson,vendor98@manufacturing.net,888-305-5821,SUSPENDED
99,Anderson Manufacturing,Mary Lopez,vendor99@manufacturing.net,888-705-2796,ACTIVE
100,Garcia Manufacturing,Robert Miller,vendor100@manufacturing.net,888-949-1130,INACTIVE
101,Miller Manufacturing,Patricia Lopez,vendor101@manufacturing.net,888-729-5654,ACTIVE
102,Brown Manufacturing,Linda Miller,vendor102@manufacturing.net,888-245-3044,SUSPENDED
103,Thomas Manufacturing,Susan Johnson,vendor103@manufacturing.net,888-437-7371,INACTIVE
104,Johnson Manufacturing,Thomas Rodriguez,vendor104@manufacturing.net,888-855-2249,ACTIVE
105,Gonzalez Manufacturing,Charles Jackson,vendor105@manufacturing.net,888-209-8969,INACTIVE
106,Taylor Manufacturing,Sarah Taylor,vendor106@manufacturing.net,888-454-1245,ACTIVE
107,Hernandez Manufacturing,Linda Lopez,vendor107@manufacturing.net,888-647-6700,ACTIVE
108,Hernandez Manufacturing,Barbara Johnson,vendor108@manufacturing.net,888-864-6494,ACTIVE
109,Miller Manufacturing,Jessica Miller,vendor109@manufacturing.net,888-819-7042,SUSPENDED
110,Brown Manufacturing,William Taylor,vendor110@manufacturing.net,888-820-7868,ACTIVE
111,Brown Manufacturing,Michael Wilson,vendor111@manufacturing.net,888-944-6334,ACTIVE
112,Martin Manufacturing,Susan Hernandez,vendor112@manufacturing.net,888-323-4113,ACTIVE
113,Miller Manufacturing,Mary Davis,vendor113@manufacturing.net,888-197-9095,INACTIVE
114,Williams Manufacturing,Richard Gonzalez,vendor114@manufacturing.net,888-758-7485,ACTIVE
115,Johnson Manufacturing,John Williams,vendor115@manufacturing.net,888-573-7548,INACTIVE
116,Miller Manufacturing,Barbara Jackson,vendor116@manufacturing.net,888-576-5799,ACTIVE
117,Johnson Manufacturing,Susan Thomas,vendor117@manufacturing.net,888-570-5968,ACTIVE
118,Lopez Manufacturing,Michael Smith,vendor118@manufacturing.net,888-889-6368,ACTIVE
119,Moore Manufacturing,Thomas Taylor,vendor119@manufacturing.net,888-969-3133,ACTIVE
120,Lopez Manufacturing,Sarah Hernandez,vendor120@manufacturing.net,888-376-6603,INACTIVE
121,Moore Manufacturing,Sarah Brown,vendor121@manufacturing.net,888-760-4101,ACTIVE
122,Davis Manufacturing,Linda Jackson,vendor122@manufacturing.net,888-275-5498,INACTIVE
123,Martin Manufacturing,Robert Wilson,vendor123@manufacturing.net,888-207-1519,ACTIVE
124,Smith Manufacturing,Jennifer Moore,vendor124@manufacturing.net,888-350-4115,SUSPENDED
125,Hernandez Manufacturing,Sarah Thomas,vendor125@manufacturing.net,888-652-9807,ACTIVE
126,Moore Manufacturing,Sarah Johnson,vendor126@manufacturing.net,888-584-9164,ACTIVE
127,Martin Manufacturing,John Jackson,vendor127@manufacturing.net,888-835-9666,SUSPENDED
128,Miller Manufacturing,Jessica Brown,vendor128@manufacturing.net,888-822-1424,SUSPENDED
129,Thomas Manufacturing,Mary Rodriguez,vendor129@manufacturing.net,888-350-5161,ACTIVE
130,Miller Manufacturing,David Wilson,vendor130@manufacturing.net,888-234-4991,ACTIVE
131,Lopez Manufacturing,Jessica Rodriguez,vendor131@manufacturing.net,888-420-4379,INACTIVE
132,Smith Manufacturing,Joseph Rodriguez,vendor132@manufacturing.net,888-184-2170,ACTIVE
133,Miller Manufacturing,Robert Martinez,vendor133@manufacturing.net,888-705-6315,ACTIVE
134,Hernandez Manufacturing,Joseph Williams,vendor134@manufacturing.net,888-441-6221,ACTIVE
135,Garcia Manufacturing,Linda Johnson,vendor135@manufacturing.net,888-203-1997,ACTIVE
136,Rodriguez Manufacturing,Linda Garcia,vendor136@manufacturing.net,888-762-5022,ACTIVE
137,Smith Manufacturing,Jennifer Johnson,vendor137@manufacturing.net,888-973-5457,SUSPENDED
138,Smith Manufacturing,David Garcia,vendor138@manufacturing.net,888-748-8489,ACTIVE
139,Miller Manufacturing,Robert Taylor,vendor139@manufacturing.net,888-254-9648,ACTIVE
140,Garcia Manufacturing,Jennifer Hernandez,vendor140@manufacturing.net,888-297-6734,INACTIVE
141,Smith Manufacturing,Thomas Moore,vendor141@manufacturing.net,888-607-7089,SUSPENDED
142,Garcia Manufacturing,Jessica Wilson,vendor142@manufacturing.net,888-823-4523,ACTIVE
143,Moore Manufacturing,Michael Garcia,vendor143@manufacturing.net,888-881-8746,ACTIVE
144,Hernandez Manufacturing,Thomas Garcia,vendor144@manufacturing.net,888-758-3925,ACTIVE
145,Taylor Manufacturing,William Anderson,vendor145@manufacturing.net,888-306-2699,ACTIVE
146,Davis Manufacturing,Linda Wilson,vendor146@manufacturing.net,888-322-8363,ACTIVE
147,Hernandez Manufacturing,Joseph Jones,vendor147@manufacturing.net,888-454-2420,ACTIVE
148,Johnson Manufacturing,Sarah Davis,vendor148@manufacturing.net,888-259-8804,ACTIVE
149,Gonzalez Manufacturing,Charles Garcia,vendor149@manufacturing.net,888-566-8638,ACTIVE
150,Jackson Manufacturing,Patricia Martin,vendor150@manufacturing.net,888-940-7887,ACTIVE
